type;raw;processed;sample_size;mu;var;mu_se;se_se;poscase_dat;poscase_est;meanlevel_dat;meanlevel_est;meanlevelpos_dat;meanlevelpos_est;medlevel_dat;medlevel_est;ref
T-2;Wheat;NA;47;0.74;0.93;0.1;0.15;0.7;0.76;2.3;2.09;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;47;1.63;1;0.12;0.13;0.85;0.89;5.7;5.1;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;51;-0.55;0.99;0.13;0.2;0.22;0.26;0.6;0.58;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;51;0.37;1.62;0.21;0.33;0.29;0.49;2.6;1.45;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;48;1.98;0.62;0.09;0.12;1;1;7.1;7.22;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;48;2.92;0.51;0.07;0.11;1;1;18.4;18.57;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;47;-0.74;0.97;0.14;0.18;0.06;0.12;0.5;0.48;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Maize;NA;6;0.82;1.67;1.31;0.95;0.17;0.11;NA;0;10;39.99;NA;0;De Boevre et al., 2012
HT-2;Wheat;NA;6;2.42;0.18;0.07;0.06;0.67;0.74;NA;0;12.5;12.13;NA;0;De Boevre et al., 2012
T-2;Oats;NA;6;3.3;0.14;0.05;0.05;1;1;NA;0;26.5;27.19;NA;0;De Boevre et al., 2012
HT-2;Oats;NA;6;3.88;0.53;0.2;0.19;1;1;NA;0;44;48.72;NA;0;De Boevre et al., 2012
T-2;NA;Bread (fibre enrichted);52;2.78;0.45;0.06;0.09;0.63;0.63;16;16.12;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Bread (fibre enrichted);52;2.65;0.54;0.07;0.11;0.69;0.69;14;14.13;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Bread (bran enrichted);36;1.81;0.91;0.15;0.21;0.14;0.14;6;6.14;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Bread (bran enrichted);36;2.65;0.56;0.09;0.13;0.22;0.22;14;14.2;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Breakfast cereals;62;2.09;0.6;0.08;0.12;0.61;0.61;8;8.07;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Breakfast cereals;62;2.57;0.49;0.06;0.1;0.65;0.65;13;13.09;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Popcorn;12;1.47;0.97;0.27;0.31;0.25;0.25;4;4.35;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Popcorn;12;1.21;1.27;0.35;0.4;0.17;0.17;3;3.35;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Oatmeal;13;2.25;0.68;0.18;0.21;0.69;0.69;9;9.5;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Oatmeal;13;3.09;1.25;0.33;0.39;0.69;0.69;20;22.06;NA;0;NA;0;De Boevre et al., 2013
T-2;Oats;NA;50;2.92;1.62;0.2;0.3;0.64;0.65;NA;12.14;NA;46.78;19;18.59;Fredlund et al., 2013
HT-2;Oats;NA;50;3.51;1.49;0.19;0.22;0.76;0.79;NA;24.52;NA;57.31;39;33.3;Fredlund et al., 2013
HT-2;Oats;NA;50;2.68;1.44;0.18;0.28;0.61;0.6;NA;8.81;NA;36.66;14;14.63;Fredlund et al., 2013
T-2;Oats;NA;50;2.89;1.21;0.15;0.2;0.62;0.69;NA;11.22;NA;33.67;24;18.07;Fredlund et al., 2013
HT-2;Oats;NA;50;3.76;1.29;0.17;0.18;0.86;0.87;NA;34.75;NA;58.83;45;43.04;Fredlund et al., 2013
T-2;Oats;NA;50;3.73;1.39;0.18;0.19;0.82;0.85;NA;32.9;NA;61.47;49;41.81;Fredlund et al., 2013
HT-2;Oats;NA;50;4.03;1.51;0.19;0.2;0.82;0.87;NA;46.24;NA;80.5;112;56.25;Fredlund et al., 2013
T-2;Oats;NA;43;2.68;1.18;0.15;0.23;0.63;0.62;NA;8.32;NA;29.73;14;14.54;Fredlund et al., 2013
HT-2;Oats;NA;43;3.07;1.67;0.22;0.3;0.63;0.68;NA;14.48;NA;52.05;27;21.44;Fredlund et al., 2013
T-2;Oats;NA;43;2.72;1.22;0.16;0.24;0.6;0.64;NA;8.91;NA;31.29;17;15.22;Fredlund et al., 2013
HT-2;Oats;NA;43;2.54;1.84;0.25;0.39;0.5;0.55;NA;8.4;NA;47.55;16;12.67;Fredlund et al., 2013
T-2;Oats;NA;43;2.81;0.97;0.13;0.18;0.71;0.7;NA;10.07;NA;26.85;16;16.67;Fredlund et al., 2013
HT-2;Oats;NA;43;3.28;1.31;0.17;0.21;0.71;0.77;NA;18.79;NA;44.36;38;26.67;Fredlund et al., 2013
HT-2;Oats;NA;43;2.66;0.88;0.12;0.16;0.56;0.66;NA;7.99;NA;23.31;21;14.34;Fredlund et al., 2013
T-2;NA;Grounded sweet peppers;8;1.14;2.45;0.64;0.76;0.75;0.87;8.4;3.12;NA;0;NA;0;Gambacorta et al., 2018
HT-2;NA;Grounded sweet peppers;8;0.11;6.11;1.65;2.5;0.5;0.67;34.4;1.11;NA;0;NA;0;Gambacorta et al., 2018
HT-2;NA;Beer;69;0.21;0.05;0.01;0.01;0.74;0.62;NA;0;1.23;1.27;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (normal lager);23;0.16;0.31;0.05;0.05;0.74;0.46;1.23;1.17;1.57;1.53;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (strong lager);19;0.22;0.25;0.05;0.05;1;0.54;NA;0;1.52;1.49;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (porter);5;0.23;0.2;0.08;0.07;0.8;0.57;NA;0;1.52;1.44;NA;0;Grajewski et al., 2019
T-2;Wheat;NA;57;-0.92;1.58;0.21;0.23;0.05;0.05;0.39;0.4;NA;0;NA;0;Juan et al., 2013
HT-2;Wheat;NA;57;1.42;0.79;0.11;0.15;0.05;0.13;4.44;4.12;NA;0;NA;0;Juan et al., 2013
HT-2;Rye;NA;11;0.24;2.79;1.84;1.59;0.27;0.23;NA;0;5.34;50.57;NA;0;Juan et al., 2013
T-2;Rye;NA;20;0.46;0.8;0.12;0.14;0.85;0.89;1.64;1.58;1.93;1.88;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;1.83;0.91;0.14;0.16;0.85;0.9;6.59;6.22;7.75;7.47;NA;0;Kosicki et al., 2020
T-2;Rye;NA;20;-0.04;0.8;0.13;0.14;0.7;0.72;0.96;0.96;1.37;1.39;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;0.72;0.19;0.05;0.04;0.55;0.55;NA;0;2.27;2.35;NA;0;Kosicki et al., 2020
T-2;Rye;NA;20;-0.74;0.7;0.23;0.17;0.35;0.37;NA;0;1.03;0.97;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;0.31;0.84;0.3;0.22;0.3;0.32;NA;0;3.64;3.46;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-0.56;0.48;0.18;0.13;0.42;0.45;NA;0;0.91;0.86;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;0.68;0.12;0.04;0.04;0.42;0.45;NA;0;2.12;2.19;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;0.7;0.71;0.14;0.16;0.92;0.96;2.03;2.01;2.21;2.16;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;2;0.79;0.16;0.17;0.92;0.95;7.43;7.39;8.1;8.05;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-0.2;1.03;0.23;0.25;0.5;0.62;0.98;0.82;1.96;1.55;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;1.05;1.12;0.25;0.26;0.5;0.63;3.38;2.86;6.77;5.61;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-0.44;0.35;0.11;0.09;0.58;0.58;NA;0;0.74;0.82;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;0.74;0.62;0.21;0.16;0.5;0.53;NA;0;3.58;3.33;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;0.11;0.81;0.16;0.17;0.75;0.78;1.1;1.11;1.47;1.52;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;0.72;0.36;0.12;0.09;0.5;0.53;NA;0;2.8;2.68;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;0.03;0.9;0.17;0.18;0.67;0.73;1.06;1.03;1.59;1.55;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;1.26;1.12;0.21;0.23;0.6;0.69;4.01;3.53;6.69;6.23;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;-0.22;0.76;0.15;0.15;0.6;0.65;0.8;0.8;1.34;1.24;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;0.76;0.76;0.15;0.15;0.53;0.53;2.03;2.14;3.81;3.75;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;-0.16;0.93;0.18;0.19;0.6;0.65;0.86;0.85;1.43;1.45;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;0.78;0.6;0.18;0.14;0.53;0.56;NA;0;3.42;3.34;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;0.18;1.98;0.37;0.41;0.67;0.64;1.21;1.2;6.73;3.84;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;1.07;1.5;0.28;0.42;0.6;0.6;4.04;2.91;1.75;7.64;NA;0;Kosicki et al., 2020
T-2;Maize;NA;61;1.97;0.69;0.15;0.17;0.33;0.31;NA;0;12;15.6;NA;0;Kovac et al., 2022
HT-2;Maize;NA;51;2.48;1.43;0.19;0.35;0.88;0.55;NA;0;8;33.45;NA;0;Kovac et al., 2022
T-2;Maize;NA;23;1.66;0.74;0.39;0.3;0.17;0.19;NA;0;10;14.98;NA;0;Kovac et al., 2022
HT-2;Maize;NA;23;1.86;1.25;0.38;0.33;0.35;0.36;NA;0;18;23.51;NA;0;Kovac et al., 2022
T-2;Rye;NA;6;1.55;0.89;0.59;0.55;0.33;0.2;NA;0;8;16.42;NA;0;Kovac et al., 2022
HT-2;Rye;NA;6;1.71;2.75;1.49;1.07;0.33;0.41;NA;0;139;73.25;NA;0;Kovac et al., 2022
T-2;Oats;NA;6;2.39;0.63;0.29;0.23;0.5;0.55;NA;0;20;17.03;NA;0;Kovac et al., 2022
HT-2;Oats;NA;6;3.98;0.49;0.18;0.18;1;1;NA;0;49;53.63;NA;0;Kovac et al., 2022
T-2;Oats;NA;11;2.76;0.54;0.13;0.14;0.5;0.41;14.2;15.87;28.3;26.5;NA;0;Rasmussen et al., 2012
HT-2;Oats;NA;11;4.17;0.43;0.1;0.12;0.67;0.61;59.3;65.03;89;85.55;NA;0;Rasmussen et al., 2012
HT-2;NA;Beer;7;-0.33;2.32;1.65;1.03;0.14;0.23;NA;0;31.3;15.32;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;24;0.33;2.54;0.8;0.58;0.38;0.34;NA;0;33.6;21.47;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;5;0.43;2.04;1.37;0.92;0.2;0.32;NA;0;29.5;15.02;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;6;0.19;1.94;1.34;0.87;0.17;0.27;NA;0;24.2;13.07;NA;0;Rodriquez-carrasca et al., 2015
T-2;Wheat;NA;86;-0.99;0.97;0.11;0.18;0.15;0.21;0.4;0.37;NA;0;NA;0;Van der Fels-Klerx et al., 2012
HT-2;Wheat;NA;86;0.81;1.14;0.12;0.14;0.1;0.09;2.2;2.24;NA;0;NA;0;Van der Fels-Klerx et al., 2012
T-2;Rye;NA;24;0.44;0.82;0.23;0.26;0.38;0.38;NA;1.55;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;Rye;NA;24;1.52;1.16;0.28;0.36;0.42;0.41;NA;4.55;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;Rye;NA;52;-0.21;1.52;0.44;0.44;0.27;0.28;NA;0.81;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;NA;Rye products;18;0.54;1.2;0.29;0.39;0.5;0.45;NA;1.71;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;NA;Rye products;18;1.66;1.06;0.25;0.34;0.5;0.45;NA;5.23;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;Oat kernels;NA;58;4.41;0.83;0.18;0.14;0.31;0.32;NA;0;206;209.49;NA;0;Kuzdralinkski et al., 2013
HT-2;NA;Wheat;15;1.79;0.43;0.16;0.12;0.33;0.37;NA;0;8.9;9.26;NA;0;Rodriquez-carrasca et al., 2012
T-2;Maize;NA;31;2.03;1.1;1.1;0.52;0.02;0.04;NA;0;106;78.49;NA;0;Topi et al., 2021
